content,topic
2019.1.27‣倒数Day328‣恋练有词Unit3明天中午就开始打卡扇贝和墨墨不然好赶,
2019-01-27👏👏👏,
还有3天，最迟3天就能把英语给结束了，太开心了还是按照我的原定计划来的PS今天晚上玩了会儿，看了2小时视频，后来又睡着了，直到我妈关灯，我才醒，就刚才,
2020studyaccountDays7在外面从早上溜达到下午。。。学习太集中也不好，没有什么新鲜感，拖延太严重#托马斯今天也要好好复习啊~#,托马斯今天也要好好复习啊~
"#sp快乐#寒假复习第八天🚩下午遇到了汤sir，带他去挑鞋,可恶他没有告诉我他带了女朋友一起去，活活成了个电灯泡，还逼我请他们吃东西。心心疼我本来就薄的钱包晚安",sp快乐
【《十天搞定》（默写本）上市】详情及购买：英语一及二均适用，含3900个核心词汇，涵盖最新16年真题，正面看英文写中文，背面看中文写英文，双语默写，牢固掌握，便携版与乱序版完美伴侣。无意识被动拼写，有意识主动默写。少拼写，多默写，让自己紧张起来！,
//@新东方王江涛:O1月29日，22点前，转发本微博并关注@刘文涛老师和@新东方王江涛，5位孩纸获赠《十天搞定》（默写本）！@微博抽奖平台开奖。,
越来越觉得今年又要失败了..可是很害怕只差两三分..因为手贱抄错了三分..这样会让自己愧疚死..我不知道明天的路该怎么走很迷茫什么也不会什么也没有又懒又颓害怕再战一年坚持不下去可是又不甘心本科毕业去工作毕竟就算考不上也只差一丢丢怎么办....,
2020studyaccount「Day10」打卡上午英语半小时长难句0.5节一部电影《死侍2》下午数学半小时复习全书例题一部电影《负重前行》晚上墨墨背20分钟锻炼半小时一部《影》，一部《天气预报》今天是放纵的一天，学习一点主要是把剩的一点内容学完。高数上网课看完了，决定暂时开启刷题模式，等过完年回来再继续吧。,
#男朋友大结局#大结局了，重新确认彼此的爱情，一年后振赫向秀贤求婚。克服身份年龄家庭差异，爱情没有什么不可能。秀贤和振赫就是爱情最好的样子。韩剧男朋友,男朋友大结局
从追到寒假就结束了啊,
🌈日期1.24day12✨距离2020还有332天☀早起7:00✘（实际8:00）【今天早了一点点】🌙昨天早睡23:00✘（实际十二点多）🌸今日计划🍀专业课：课本：导论九，发心六文献两篇+读书笔记【补任务】🍀英语：词汇：不背，恋恋有词unit11+12+笔记整理阅读：2001英语一+整理（全部）🍀日常：运动🌸每日一句愿少年在征途后回眸时眼有星辰大海胸有丘壑万千心有繁花似锦——勔昪,
2019.1.24打卡第24天吃了四份寿司，三份三明治的一天我说想吃面包，我妈买了两袋吐司我爸买了两袋吐司我还有一箱手撕面包，一箱肉松饼，一份蛋黄酥在来的路上，这几天早中晚可有的吃了@笃学学堂@笃学学堂-谷雨姐,
33个《》，我已经在坚持了215天。,
今天按照电影时长发，当一部电影看吧，四大形式齐上阵，一个比一个深刻，拿起纸笔，好好学。影片开头是一位学生做的鬼畜视频，高数狂想曲，非常棒。还有个别精彩重要的知识没有剪辑在里面，我考虑今年亲自去录这么一首，把全部知识两分钟速览完毕，挑战一下。【注】明天开始，寒假打卡团正式开始。L宇哥的微博视频,
高数狂想曲,
厦大的广场几乎都是新传的,
33个《核心》，我已经在坚持了7天。##,","
#2020一笑而过#2019.1.20day20今天长难句笔记整理刑法听课了，并记了笔记练字,2020一笑而过
🗓335学习正式开始了菠萝蜜真的戳中我练胸太用力痛了三天哭回淮南我可以不吃牛肉汤可是土豆片真是我的心头肉啊怎么吃都不腻酥脆的炸肉我选择死亡,
131个《》，我已经在坚持了57天。,
还要上两个星期的班才放假今天刷了一天的剧时间一下就过去了在东院上班的时候和同事聊天也不能算同事吧应该是我的甲方她现在准备去德国留学我觉得工作之后又重返学校是一件需要勇气的事情我挺佩服她的一点是在于行动力上我的行动力全花在追星上了吧,
#2019年医学#中的西综竟然出这样的题，我怎么觉得医学现在也很好玩了，这个标准答案不知真假，告诉妻子的目的不应该怕伤害丈夫，而是因为孩子有遗传病需要向妻子了解孩子生父情况～，看后面评论笑死了，什么把头上的绿色手术帽给父亲带上，默默的看着他～你是王宝强导戏啊，戏精附身了，笑的我睡不着了，重新开始吸气～呼气，循环往复～,2019年医学
100个《》，我已经在坚持了163天。,
45个《核心》，我已经在坚持了24天。,
我也不知道以后要成为什么样的人啊反正希望自己追求的不是婚姻的幸福和子女的优秀吧那样太不可控了我只希望自己能一生追求自我和思想的自由读书但愿我有很好很长的一生#碎碎念,
