content,topic
今天你学习了吗2019初级会计初级会计网课初级会计题库初级会计教材新东方雅思资料英语专四英语专八考虫新东方专四专八日语韩语2020考研资料计算机二级题库以后我们一起学习吧,
没有什么比奋斗更不能等的了❤2020考研❤考研复试❤英语四级网课❤2019教师资格证笔试❤注册会计师考试❤考虫万词班❤计算机二级题库❤一级二级建造师❤cpa网课❤2019初级会计❤初级会计题库❤初级会计网课❤初级会计职称❤考虫雅思❤cpa经济法❤cpa战略❤cpa会计❤英语六级网课❤管理类联考❤考虫口语提升班❤考虫专四专八❤ACCA和CFA❤消防工程师❤付出和回报永远是成正比的！相信不能让自己失望,
#Susie的实习日记#在微博消失的这些日子，忙到死。我真的不是来微博吐槽的。可是昨天只睡了四个小时，回来之后一直改作文改文件改教案。我，一下子适应不了这个实习生活。要是考研之前体验过这种实习生活，是不是复习得会更加努力。生存好难。。。这几天负面情绪好严重。我不知道别的实习生是不是如此？工资很低？压力很大？各种加班？这两天朋友跟我说面试了一家外贸公司，实习工资1500，对二外要求很高，对计算机要求很高，不在意英语水平.......当初放假信誓旦旦每天背些单词，太难实现了......现在的我只想下班负责人别给我打电话我想好好睡觉好好吃饭好好煲剧......珍惜读书的时光。,Susie的实习日记
我真的哭了作为一个学测控的工科生大学四年基本上天天与物理打交道自控数电模电传感器光电检测工程光学物理光学但常常做着高考化学方程式怎么都配不平的噩梦o考研有点跨专业为了复试机会更多一点在计算机基础（包括c与微机原理）和半导体之间选了完全没有学过的半导体物理万万没想到ok从固体物理开始就劝退共价键什么的全还给高中老师了希望后面不要再这么虐了studyaccount#考研#,考研
大三上学期就这么过去了大学也过大半了这学期过的好快从九月份开学一直忙到一月份放假九月份计算机二级十月十一月pocib教师资格证笔试十二月六级三笔普通话一月教师资格证面试和期末考试当时以为的那些艰难得熬不过的日子现在回头看看都过来了还好没有放弃还好都全力以赴不留遗憾反而生活在这种高压的状态下会显得更充实有意义下学期考研的一学期也要像这学期这样继续加油鸭和苏西计划了三个月的旅行终于来了打卡大学旅行第3⃣️站长沙🙆‍♀️,
考研刚刚终于决定考研计算机专业虽然兴趣没那么大但是不想转了先定好学校定的时候学英语有没有考计算机关于学校方面建议的小伙伴呀,
计算机这几年考研很火热，可以关注一些计算机考研公众号，比如灰灰考研，计算机考研说这些。他们整理了很详细的资料，可以参考。,
教师资格证面试过过过，六级过过过，计算机二级过过过，考试顺利，考研成功！！,
出北京大学计算机辅助翻译考研资料,
【1月9月更新】【1】【2019研究生复试灯塔计划】19商志复试修正复试第二讲【2】【2019研究生复试灯塔计划】2019老吕MPAccMAud复试通关班5讲【3】【2019版柯林斯系统语法班】1月8日第二次直播+讲义【4】【2019版考虫万词班】1月8月第二次直播【5】【2020新东方英语】直播班2020考研基础核心词特训1月8日第一次直播【6】【2020刘晓燕英语CARRY班】词汇精讲第13次直播【7】【2020考虫政治】导学班毛中特导学+当代政治导学【8】【2020商志英语】七大素材精讲社会生活类补充2讲【9】【2020新东方数学】增值课程张宇带你学数学配套课程1-3章【10】【2020文都计算机】导学班7讲【11】【2020文都应用心理学】导学班复习方法+全程规划+院校分析58讲【12】【2020文都汉语言国际教育】导学班5讲【13】【2020管理类联考svip】文都199联考导学写作3讲王诚逻辑4讲王诚【14】【2020文都396经济类联考】导学班写作+逻辑王诚7讲--,
准备睡觉了，依旧计划明天早起今天中午起床，下午也没有出门，就很垃圾成就是好不容易把office2010下载好了可以练习计算机了因为晚上和一个东北大兄弟打电话他在浙江实习然后和我说考研的学校已经定了我莫名焦躁，去看了考研学校然后，也差不多定下来了（就是这么快）Ps.张彬彬很帅,
还好充饭卡也算，不然真的吓死我了//@0煮药的煮0:考研，46级，计算机等级考试，还有校园生活冲饭卡是不是也算😂,
计算机考研408课程链接::g450 ps：内容来自网络，侵删,
