title,content
计算机考研408难吗？学到什么程度才能考130?,408考110-120不难，但是要上130+，还是比较难的。它这个东西其实很抽象，每年出题组老师也不固定，导致试卷风格千奇百怪， 为了让这150分显得更超值、更能刷人，真的是无所不用其极，一道题就覆盖穿插多个考点，而且考试的时候你会发现有的知识点居然没复习过？平时书中都没有写的，就这么莫名其妙出现在眼前，你慌不慌。很多人刚开始看408都发懵，感觉无从下手，冗余杂乱给人一种劝退的冲动，出现这种情况很正常，我建议你按照 …阅读全文​
计算机考研 408 统考该如何准备？,计算机考研与跨考live已建立，和大家分享一些共性问题，大部分考研过程中都会碰到的关卡，怎么去巧妙应对。 计算机考研与跨考的那些疑惑 今年刚考完，跨专业零基础 四个半月复习时间 成绩出来再来更新 【置顶】鉴于国内高等教育环境持续恶化，在国内读研其实并不是一个多好的选择。【置顶】鉴于考研形势日趋紧迫，复习得越全面越好，项目越多越好，代码能力越强越好...…必须承认我是沾了点运气的，不值得效仿…2017.03 PS:复试后…阅读全文​
计算机考研究竟有多难呢？,计算机考研，最大的难点在于 择校。比如21年科软直接炸了，甚至初试400+含泪调剂。 作为工科中考研最卷的专业，在不同学校之间，也存在大卷、中卷和小卷。你要做的就是去找到适合你的小卷。 正确的考研择校的逻辑是怎样的？ 数据驱动的，个人能力和院校水平的合理性匹配过程。不以数据驱动的择校，就是拍脑门。 不合理的匹配，要么浪费分数，要么含泪二战。 考研择校没有通解，个体因素和环境因素都不一样，不要想着抄答案。 我…阅读全文​
计算机考研究竟有多难？,计算机考研，最大的难点在于择校。 比如21年科软直接炸了，甚至初试400+含泪调剂。 作为工科中考研最卷的专业，在不同学校之间，也存在大卷、中卷和小卷。你要做的就是去找到适合你的小卷。 正确的考研择校的逻辑是怎样的？ 数据驱动的，个人能力和院校水平的合理性匹配过程。不以数据驱动的择校，就是拍脑门。 不合理的匹配，要么浪费分数，要么含泪二战。 考研择校没有通解，个体因素和环境因素都不一样，不要想着抄答案。 我…阅读全文​
工科到底该选什么专业呢?,秋招后回答 第一梯队：集成电路 第1.5梯队：计算机，能源，车辆，通信 第二梯队：自动化，机械，材料（半导体），化学（电池方向） 第三梯队：土木，生化环材 金融不了解 各位，时代已经变了，承认时代变了就这么难吗？未来的方向不就是芯片新能源汽车人工智能，这都写到方案规划里了你还在那给我装，这中间ai那么卷你卷个毛线？ 还搁这给我吹计算机，你经历过秋招没有，今年集成电路泥电薪资多少网上查查，计算机薪资多少再查查…阅读全文​
24考研计算机11408，从今年三月份开始复习来得及吗？其中高数上已经快复习完一遍?,今年3月开始备考11408这个起点是正常的，能否来得及取决于你每天投入几个小时学习： 如果每天学习3.4小时，那可能来不及，毕竟数学一、英语一，专业课408又四门课，复习量很大！如果每天学习6.7小时以上，那肯定来得及的，并且还能复习得很好！ [图片] 408基本信息介绍：计算机基础综合 408 满分 150 分，考试时间 3 个小时。数据结构占 45 分 计算机组成原理占 45 分操作系统占 35 分计算机网络占 25 分40 道单选，每道 2 分，单选共 8…阅读全文​
2023考研计算机哪些学校可能会炸？,先说结论： 会炸的学校有：武大计院、武大网安、华科计院、复旦计院、复旦软院、中山计院，电子科大，厦大计院；此外原回答中也有不推荐报考的学校没写在会炸里，因为剩余的几所学校是否推荐报考 和是否爆炸关系不大 推荐报考的数一+408：中科院计算所，华科网安，华科软院，华南理工； 推荐报考的数二+408：中科院信工所，中科院软件所，中科大先研院，复旦工研院，科软，北理工计算机； 推荐报考的自命题：浙大软院，中南，西…阅读全文​
普通二本，计算机专业，有什么考研学校推荐吗？或者有什么建议吗？,我个人比较推荐福建师范大学，二本出身计算机专业无论是考本专业还是跨考其他专业，考这所学校的性价比还是比较高的。福师大的考题难度相对较低，师资雄厚。福州又位于沿海，经济发达，生活条件舒适，冬季不会太冷，夏季不会太热，绿化到位，是宜居城市。如果说有什么建议，我觉得如果你一次考研没有上岸，可以考虑第二次选择在职研究生，现在在职的含金量也是很高的。如果一次上岸，必然要努力珍惜机会，好好读研。最近我听了一…阅读全文​
计算机考研408难吗？学到什么程度才能考130?,408真的太难了，知识点超级多，题目灵活，数据结构、计算机网络、操作系统、计算机组成系统这四门课随便拿出来一门都可以出一套独立的考研卷，别说是跨考的，就连计算机科班出身的都觉得难。但是考130分也不是没有可能，我本科室友就是电气跨考浙大的计算机，专业课132分，高分上岸，下面我结合我室友的复习规划来给大家做个高分指导：1、试卷内容分析408全称计算机专业基础综合总，共包括四门专业课的考察，分别是数 据结构、计…阅读全文​
工科到底该选什么专业呢?,一代版本一代神，没有永远的风口，但总有人会站在下一个风口，可惜绝大多数人只看得见当下。 过去几年是互联网的时代，但接下来几年的趋势会是集成电路、智能交通（自动驾驶）和新能源车，再往后是机器人，再远我就看不清了。 十几二十年前是基建时代，所以土木、建筑和电气最吃香；再后面通信火了一段时间；前几年是互联网时代，但今年也遭遇了寒冬。 集成电路毫无疑问就落在了微电子相关专业。 智能交通建设落在了交通运输、自…阅读全文​
